Rank,Name,FirstYear,LastYear,Seasons,Games,PA,HR,RBI,Runs,Hits,OPS_plus,G,O,L,D,GOLD,Tier
52,Dave Kingman,1971,1974,4,409,1403,77,217,177,278,110.5,12.2,77.6,14.7,71.4,44.2,Bronze
53,Alex Dickerson,2019,2021,3,219,653,29,91,93,156,114.5,5.7,83.7,6.8,79.1,44.0,Bronze
54,Chris Speier,1971,1989,10,1114,4284,70,409,445,924,93.5,29.2,43.4,47.7,63.3,44.0,Bronze
55,Marco Scutaro,2012,2014,3,193,828,5,75,98,234,114.0,5.8,83.2,5.9,79.6,43.8,Bronze
56,Mike Aldrete,1986,1988,3,349,1111,14,126,121,274,112.1,8.3,79.6,11.0,75.5,43.7,Bronze
57,Dan Gladden,1983,1986,4,348,1419,16,110,196,353,105.3,9.8,68.4,12.7,85.2,43.0,Bronze
58,Marvin Benard,1995,2003,9,891,2945,54,260,441,714,96.7,22.2,50.0,38.7,66.8,42.8,Bronze
59,Mike Morse,2014,2017,2,155,522,17,64,49,129,115.9,4.0,84.7,3.0,76.5,42.5,Bronze
60,Austin Slater,2017,2023,7,550,1486,38,153,186,336,105.1,11.2,67.9,24.3,69.4,42.4,Bronze
61,Willie Kirkland,1958,1960,3,394,1548,57,189,171,364,110.5,12.4,78.1,12.5,62.8,42.2,Bronze
62,Ángel Pagán,2012,2016,5,583,2471,31,205,321,639,103.2,17.6,62.8,22.0,68.4,42.2,Bronze
63,Glenallen Hill,1995,1997,3,358,1388,54,217,174,341,108.0,11.9,73.5,11.3,70.4,42.0,Bronze
64,Willie McGee,1991,1994,4,444,1748,14,148,195,483,106.1,11.8,68.9,15.8,66.3,40.6,Bronze
65,LaMonte Wade Jr.,2021,2023,3,321,1151,43,127,145,240,109.7,9.1,75.5,10.1,65.3,40.5,Bronze
66,Bill Mueller,1996,2002,6,605,2440,28,214,333,609,101.7,18.1,60.2,24.4,60.2,40.4,Bronze
67,Jack Hiatt,1965,1969,5,290,803,18,102,63,158,108.7,5.9,74.5,12.4,68.9,40.4,Bronze
68,Evan Longoria,2018,2022,5,477,1818,70,239,212,412,103.3,14.4,63.3,18.6,65.8,40.2,Bronze
69,Garry Maddox,1972,1975,4,421,1738,32,188,221,469,103.8,12.9,64.3,15.1,67.9,39.7,Bronze
70,Joe Panik,2014,2019,6,643,2598,36,221,288,631,95.8,17.7,48.5,25.6,73.5,39.7,Bronze
71,Andres Torres,2009,2013,4,429,1438,28,126,197,322,103.4,10.9,63.8,15.3,69.9,39.4,Bronze
72,Gary Thomasson,1972,1977,6,604,1910,38,201,233,426,99.7,14.3,57.7,24.4,63.8,39.2,Bronze
